TxtMin_WordBag,FREQUENCY,Value
kicks,9,0
messed,9,0
needed,9,0
password,9,1
pets,9,1
premium,9,1
ready,9,1
receive,9,0
restore,9,0
unlocked,9,0
unusable,9,0
ability,8,0
bottom,8,0
cast,8,0
definitely,8,0
designed,8,1
dis,8,1
display,8,0
except,8,0
expect,8,1
fair,8,0
frustrating,8,0
garbage,8,0
guess,8,0
hanging,8,0
heck,8,0
interface,8,1
ios,8,1
iphone,8,1
joke,8,1
left,8,0
mad,8,0
memory,8,1
might,8,1
mins,8,0
os,8,1
payed,8,1
quite,8,0
rated,8,0
ruins,8,0
scam,8,0
sd,8,0
selection,8,1
sense,8,1
shit,8,0
shuts,8,0
size,8,1
smart,8,1
sorry,8,0
special,8,1
stays,8,0
totally,8,1
ugly,8,0
upgraded,8,0
words,8,1
yesterday,8,1
accurate,7,0
angry,7,0
annoyed,7,0
asked,7,0
barely,7,0
battle,7,0
believe,7,1
bet,7,0
block,7,0
broken,7,0
bucks,7,0
cash,7,1
changes,7,0
character,7,1
characters,7,0
closed,7,0
completed,7,0
concept,7,1
correctly,7,1
couple,7,1
dollar,7,1
dosent,7,0
double,7,1
droid,7,1
easily,7,1
fail,7,0
hang,7,0
laggy,7,0
large,7,1
learn,7,1
losing,7,0
none,7,0
older,7,0
removed,7,0
restarts,7,0
season,7,0
shut,7,0
stick,7,0
hasnt,6,0
inaccurate,6,0
loose,6,0
news,6,1
notes,6,1
notification,6,1
okay,6,0
poorly,6,0
pressing,6,1
program,6,1
push,6,0
quit,6,0
reboot,6,0
replies,6,1
shoot,6,0
shot,6,0
shutting,6,0
sick,6,0
spam,6,0
taken,6,0
virus,6,0
voice,6,1
waist,6,0
alone,5,0
broke,5,0
cheap,5,0
cutting,5,0
damn,5,0
deactivate,5,0
denied,5,0
die,5,0
erased,5,0
exit,5,0
freaking,5,0
hole,5,0
limited,5,0
passed,5,0
return,5,0
screwed,5,0
skip,5,0
